id,employee_no,name,email,group_name,team_name,position_name,role_name,employment_status,mm_start_date,mm_end_date,yearly_mm,note,is_active
97bd6c1d-9593-5764-96af-38e5333fe3a1,2026001,고광종,test001@cmtinfo.co.kr,PMO본부,PMO1팀,이사,PM,active,2020-09-01,,5.9,original-based personnel,true
a2e54498-12ae-5f54-ae92-a611d768e1e2,2026002,심우정,test002@cmtinfo.co.kr,PMO본부,PMO2팀,이사,PM,active,2021-02-22,,5.6,original-based personnel,true
10d6d975-073c-5219-aac5-8cdf7be6f800,2026003,이광만,test003@cmtinfo.co.kr,PMO본부,기술지원팀,이사,PM,active,2022-11-14,,5.3,original-based personnel,true
bc18b14d-d750-56fe-aa46-ce6306bb1adc,2026004,조양규,test004@cmtinfo.co.kr,PMO본부,PMO1팀,이사,PM,active,2024-01-01,,5.0,original-based personnel,true
c49143f6-6250-5f1f-9ba6-e2956527fdd2,2026005,조재훈,test005@cmtinfo.co.kr,PMO본부,PMO2팀,이사,PM,active,2023-02-01,,5.9,original-based personnel,true
582542bc-bf13-50d0-8a03-68ff41fa128d,2026006,심성훈,test006@cmtinfo.co.kr,PMO본부,기술지원팀,이사,PM,active,2026-02-23,,5.6,original-based personnel,true
eca63803-3a32-5e6a-94bc-d4d1eb8cec28,2026007,김성필,test007@cmtinfo.co.kr,PMO본부,PMO1팀,수석,PL,active,2024-09-01,,5.3,original-based personnel,true
dabcdead-ed75-590c-9e6e-50d59acf5950,2026008,김찬호,test008@cmtinfo.co.kr,PMO본부,PMO2팀,수석,PL,active,2024-10-01,,5.0,original-based personnel,true
3a3087df-1d33-55a9-86e4-ea29c9abb95a,2026009,이문희,test009@cmtinfo.co.kr,PMO본부,기술지원팀,수석,PM,active,2023-11-13,,5.9,original-based personnel,true
bb2279a6-e81e-58f2-990d-590b77354f16,2026010,박윤승,test010@cmtinfo.co.kr,PMO본부,PMO1팀,책임,PL,active,2023-08-01,,5.6,original-based personnel,true
fb31cf1b-a9ea-583e-baee-c1c0e6e890fe,2026011,이운정,test011@cmtinfo.co.kr,PMO본부,PMO2팀,책임,PL,active,2023-10-16,,5.3,original-based personnel,true
f420858e-95b8-5d0d-a540-55d85ade2833,2026012,정명용,test012@cmtinfo.co.kr,PMO본부,기술지원팀,책임,PL,active,2023-09-18,,5.0,original-based personnel,true
32e2ced1-4b3f-521b-a034-9f57ce60bff7,2026013,박선영,test013@cmtinfo.co.kr,PMO본부,PMO1팀,책임,PL,active,2023-12-01,,5.9,original-based personnel,true
b796952d-8009-5fbe-8c7b-138d97e79db2,2026014,박승준,test014@cmtinfo.co.kr,PMO본부,PMO2팀,책임,PL,active,2023-04-25,,5.6,original-based personnel,true
c9333bbe-0e25-56fe-aac6-0513ec75e781,2026015,조승현,test015@cmtinfo.co.kr,PMO본부,기술지원팀,책임,PL,waiting,2021-02-22,,0.8,scenario waiting personnel,true
1d1ac0af-c981-556f-9325-9280373107dc,2026016,최낙영,test016@cmtinfo.co.kr,PMO본부,PMO1팀,책임,PL,waiting,2024-09-11,,0.6,scenario waiting personnel,true
4f9b8eaf-9973-521b-a1d1-5fc609c1d56c,2026017,이택호,test017@cmtinfo.co.kr,PMO본부,PMO2팀,선임,PL,waiting,2025-01-01,,0.4,scenario waiting personnel,true
